Number,Hora,Total,Es_Bessons,Lubi,Son_Rues,Valldurgent,Son_Orlandis,Murterar_Power,GESA,Santa_Ponsa,Cas_Tresoare,Cala_Bosc,Ciutadella,Mahon,Dragonera,Es_Merceds,Elvissa
135,22:20:00,624,41.29791019,14.51416043,44.49168484,144.4777799,4.841487642,29.52146713,13.30464706,11.0978518,170.6014829,1.630340905,27.0805356,8.797843864,7.332819103,7.826113983,97.1838746
136,22:30:00,618,40.9008149,14.37460119,44.06388018,143.0885705,4.794934876,29.23760687,13.17671776,10.99114168,168.9610841,1.61466455,26.82014583,8.713249212,7.262311227,7.750862887,96.24941427
137,22:40:00,608,40.23898942,14.14200247,43.35087241,140.7732215,4.717346933,28.76450644,12.96350226,10.81329149,166.2270859,1.588537292,26.38616289,8.572258124,7.1447981,7.625444393,94.69198038
138,22:50:00,598,39.57716393,13.90940374,42.63786464,138.4578724,4.63975899,28.291406,12.75028676,10.63544131,163.4930878,1.562410034,25.95217995,8.431267037,7.027284973,7.5000259,93.13454649
139,23:00:00,592,39.18006864,13.76984451,42.21005998,137.068663,4.593206224,28.00754574,12.62235747,10.52873119,161.8526889,1.546733679,25.69179018,8.346672384,6.956777097,7.424774804,92.20008616
140,23:10:00,578,38.25351297,13.44420629,41.2118491,133.8271744,4.484583104,27.34520513,12.32385577,10.27974093,158.0250916,1.510155518,25.08421406,8.149284862,6.79225872,7.249188913,90.01967872
141,23:20:00,571,37.79023513,13.28138719,40.71274366,132.20643,4.430271544,27.01403483,12.17460492,10.1552458,156.1112929,1.491866437,24.780426,8.0505911,6.709999531,7.161395968,88.929475
142,23:30:00,559,36.99604455,13.00226872,39.85713434,129.4280112,4.337166013,26.44631431,11.91874632,9.941825568,152.8304951,1.460513727,24.25964647,7.881401795,6.568983779,7.010893776,87.06055433
143,23:40:00,553,36.59894926,12.86270948,39.42932968,128.0388018,4.290613247,26.16245405,11.79081702,9.835115455,151.1900962,1.444837372,23.99925671,7.796807143,6.498475903,6.93564268,86.126094
144,23:50:00,543,35.93712377,12.63011076,38.71632191,125.7234527,4.213025304,25.68935361,11.57760153,9.657265266,148.4560981,1.418710114,23.56527377,7.655816055,6.380962777,6.810224187,84.56866011
